S.No,date,time,product_name,quantity,unit_price,total_amount,payment_mode,transaction_type
66,01-01-2024,14:55,Nazareth Spices,2,21.7,43.4,Credit,Walk-in
67,01-01-2024,14:48,Devi-Chaudhry Masala,4,440.13,1760.52,UPI,Walk-in
68,01-01-2024,03:11,"Krishnamurthy, Masala",5,195.04,975.22,Credit,Walk-in
69,01-01-2024,05:08,Joshi Coffee,2,359.99,719.98,Credit,Walk-in
70,01-01-2024,19:33,Kaur-Sama Salt,4,117.28,469.11,Credit,Delivery
71,01-01-2024,06:10,"Sehgal, Salt",1,337.14,337.14,Cash,Phone Order
72,01-01-2024,18:10,Sha Tea,4,84.88,339.53,Cash,Walk-in
73,01-01-2024,11:23,Swaminathan Soap,1,249.52,249.52,UPI,Walk-in
74,01-01-2024,17:52,Karpe Juice,1,13.02,13.02,Cash,Phone Order
75,01-01-2024,14:07,"Manda, Coffee",5,50.94,254.7,Cash,Phone Order
76,01-01-2024,23:26,Swamy Sugar,3,298.52,895.56,Credit,Phone Order
77,01-01-2024,12:15,Mitter-Ramanathan Dal,4,244.75,979.0,UPI,Walk-in
78,01-01-2024,20:42,Ramesh Dal,5,42.76,213.8,UPI,Walk-in
79,01-01-2024,13:58,Srinivasan-Bassi Coffee,1,144.62,144.62,Credit,Walk-in
80,01-01-2024,18:20,Lalla Detergent,4,199.83,799.32,Credit,Walk-in
81,01-01-2024,05:55,Buch-Sehgal Coffee,2,425.69,851.37,Cash,Delivery
82,01-01-2024,20:38,Dave-Purohit Sugar,1,16.71,16.71,Credit,Walk-in
83,01-01-2024,21:04,Anne-Mital Wheat Flour,4,252.63,1010.52,Credit,Phone Order
84,01-01-2024,09:22,"Barad, Salt",1,182.95,182.95,Credit,Phone Order
85,01-01-2024,19:58,"Ahuja, Toothpaste",2,445.08,890.17,Credit,Walk-in
86,01-01-2024,06:57,Kari-Agate Juice,5,106.57,532.85,UPI,Phone Order
87,01-01-2024,15:52,Rastogi-Gandhi Detergent,1,160.53,160.53,Cash,Delivery
88,01-01-2024,15:27,Dubey Dal,4,341.81,1367.24,Cash,Phone Order
89,01-01-2024,09:34,Srinivasan-Bassi Coffee,1,144.62,144.62,UPI,Phone Order
90,01-01-2024,22:44,"Mani, Dal",1,362.64,362.64,Credit,Walk-in
91,01-01-2024,13:15,"Barad, Salt",4,182.95,731.8,Credit,Walk-in
92,01-01-2024,14:48,Tara-Padmanabhan Tea,2,13.07,26.14,UPI,Phone Order
93,01-01-2024,14:55,Chhabra-Aurora Tea,3,414.52,1243.56,Credit,Walk-in
94,01-01-2024,09:56,"Ganesh, Soap",5,32.83,164.16,Credit,Walk-in
95,01-01-2024,08:39,Mangat Soft Drinks,4,346.56,1386.24,UPI,Walk-in
96,01-01-2024,16:03,Tara-Padmanabhan Tea,2,13.07,26.14,Credit,Walk-in
97,01-01-2024,20:06,Sunder-Kapadia Tea,2,298.51,597.02,UPI,Walk-in
98,01-01-2024,09:36,Lad Masala,4,314.12,1256.48,Credit,Walk-in
99,01-01-2024,11:33,"Malhotra, Wheat Flour",3,303.54,910.63,UPI,Phone Order
100,01-01-2024,04:56,"Suresh, Salt",5,229.19,1145.97,Credit,Walk-in
101,01-01-2024,19:58,"Dalal, Coffee",2,195.59,391.18,UPI,Phone Order
102,01-01-2024,21:30,Raman Toothpaste,2,9.81,19.62,UPI,Delivery
103,01-01-2024,09:46,Srinivasan-Bassi Coffee,3,137.39,412.17,Cash,Phone Order
104,01-01-2024,11:22,Ben-Chaudhary Soft Drinks,4,32.1,128.4,Cash,Walk-in
105,01-01-2024,21:52,"Kota, Namkeen",3,444.5,1333.5,UPI,Phone Order
106,01-01-2024,12:16,Chandran-Vyas Toothpaste,2,192.65,385.3,UPI,Walk-in
107,01-01-2024,18:12,Memon Chocolates,1,423.16,423.16,UPI,Walk-in
108,01-01-2024,23:42,Sant Dal,3,463.25,1389.75,UPI,Walk-in
109,01-01-2024,07:55,Salvi-Saraf Coffee,4,489.48,1957.92,Cash,Walk-in
110,01-01-2024,05:10,Dhillon-Karan Rice,1,11.46,11.46,UPI,Walk-in
111,01-01-2024,17:52,Salvi-Saraf Coffee,3,440.53,1321.6,Credit,Delivery
112,02-01-2024,12:48,"Sanghvi, Wheat Flour",1,96.44,96.44,Cash,Phone Order
113,02-01-2024,08:40,"Varughese, Sugar",2,125.46,250.92,Cash,Delivery
114,02-01-2024,08:10,"Saini, Juice",2,397.07,794.14,Credit,Walk-in
115,02-01-2024,06:02,Devi-Chaudhry Masala,4,396.12,1584.47,Credit,Phone Order
116,02-01-2024,05:33,Wable Soft Drinks,5,416.72,2083.6,UPI,Walk-in
117,02-01-2024,05:29,"Bobal, Salt",2,431.81,863.62,UPI,Walk-in
118,02-01-2024,06:55,Lad Masala,2,314.12,628.24,Cash,Phone Order
119,02-01-2024,14:50,Bora-Bhalla Rice,5,79.53,397.65,Cash,Walk-in
120,02-01-2024,09:40,"Kota, Namkeen",1,444.5,444.5,UPI,Walk-in
121,02-01-2024,16:18,Gour-Deo Toothpaste,4,361.84,1447.38,UPI,Walk-in
122,02-01-2024,19:12,"Venkatesh, Shampoo",3,436.26,1308.78,Cash,Walk-in
123,02-01-2024,03:04,Sunder-Kapadia Tea,1,268.66,268.66,Cash,Phone Order
124,02-01-2024,20:47,Madan-Divan Chocolates,2,55.28,110.56,Cash,Walk-in
125,02-01-2024,08:04,Chandran-Vyas Toothpaste,4,183.02,732.07,Credit,Delivery
126,02-01-2024,16:12,Buch Shampoo,5,202.38,1011.9,Cash,Walk-in
127,02-01-2024,20:29,Palla-Muni Biscuits,5,289.06,1445.31,Cash,Delivery
128,02-01-2024,20:06,Ratta Soft Drinks,2,165.89,331.78,Credit,Walk-in
129,02-01-2024,22:14,"Saini, Juice",3,441.19,1323.57,Cash,Walk-in
130,02-01-2024,17:09,Handa Soap,2,71.14,142.29,Credit,Walk-in
131,02-01-2024,16:08,Ahluwalia Pulses,2,462.26,924.52,Credit,Phone Order
132,02-01-2024,07:53,Buch Shampoo,3,182.14,546.43,Cash,Walk-in
133,02-01-2024,22:37,"Krishnamurthy, Masala",3,205.31,615.93,UPI,Phone Order
134,02-01-2024,05:43,"Narayan, Toothpaste",5,226.48,1132.4,Cash,Walk-in
135,02-01-2024,10:12,"Atwal, Masala",4,256.44,1025.77,Cash,Walk-in
136,02-01-2024,07:13,Raman Tea,1,232.85,232.85,UPI,Walk-in
137,02-01-2024,23:47,Chaudhry Rice,3,62.77,188.3,UPI,Walk-in
138,02-01-2024,00:43,"Krishnamurthy, Masala",3,195.04,585.13,Credit,Delivery
139,02-01-2024,19:59,Buch-Sehgal Coffee,5,403.28,2016.4,Credit,Walk-in
140,02-01-2024,02:45,Kari-Agate Juice,2,95.91,191.83,Credit,Walk-in
141,02-01-2024,15:36,Mammen Soap,3,229.9,689.7,Credit,Walk-in
142,02-01-2024,15:22,Sekhon Pulses,4,16.83,67.32,Cash,Phone Order
143,02-01-2024,05:40,Ravel-Prashad Biscuits,4,189.3,757.2,UPI,Walk-in
144,02-01-2024,02:19,Ravel-Prashad Biscuits,2,189.3,378.6,Cash,Phone Order
145,02-01-2024,01:53,"Dugar, Biscuits",3,43.72,131.16,Credit,Walk-in
146,02-01-2024,07:17,Wable Soft Drinks,3,375.05,1125.14,UPI,Walk-in
147,02-01-2024,18:16,Sheth-Merchant Salt,5,413.2,2066.0,Credit,Phone Order
148,02-01-2024,04:02,Aurora-Madan Namkeen,1,82.68,82.68,UPI,Walk-in
149,02-01-2024,20:32,Ravel-Prashad Biscuits,1,189.3,189.3,Cash,Walk-in
150,02-01-2024,07:09,Gour-Deo Toothpaste,2,402.05,804.1,Credit,Walk-in
151,02-01-2024,02:58,Yadav Rice,1,24.08,24.08,Credit,Walk-in
152,02-01-2024,22:28,Nayak Dal,5,207.03,1035.17,Credit,Delivery
153,02-01-2024,06:51,Khalsa Chips,5,81.83,409.16,Cash,Walk-in
154,02-01-2024,06:21,Chacko Soft Drinks,4,93.77,375.08,Credit,Delivery
155,02-01-2024,11:14,Tara-Padmanabhan Tea,5,12.42,62.08,Credit,Walk-in
156,02-01-2024,19:58,"Bobal, Salt",5,455.8,2279.0,Credit,Walk-in
157,02-01-2024,14:13,Rao-Bansal Spices,1,130.9,130.9,Credit,Walk-in
158,02-01-2024,21:11,Buch-Sehgal Coffee,2,403.28,806.56,Credit,Delivery
159,02-01-2024,10:20,Kaur-Sama Salt,3,117.28,351.83,Credit,Walk-in
160,02-01-2024,19:47,Sachar Rice,2,380.89,761.78,UPI,Walk-in
161,02-01-2024,17:14,Nayak Dal,5,217.93,1089.65,Cash,Walk-in
162,02-01-2024,18:09,Lad Masala,4,314.12,1256.48,Cash,Delivery
163,02-01-2024,16:04,Datta-Solanki Soap,5,383.24,1916.2,Credit,Delivery
164,02-01-2024,21:18,Upadhyay Soap,4,278.3,1113.2,UPI,Walk-in
165,02-01-2024,03:18,Mitter-Ramanathan Dal,5,232.51,1162.56,Cash,Walk-in
166,02-01-2024,16:30,Memon-Lall Wheat Flour,4,164.0,655.99,Cash,Walk-in
167,02-01-2024,22:32,Srinivasan-Bassi Coffee,4,144.62,578.48,UPI,Walk-in
168,02-01-2024,15:32,"Mani, Dal",4,402.93,1611.72,Credit,Delivery
169,02-01-2024,21:41,Anne-Mital Wheat Flour,4,252.63,1010.52,Credit,Walk-in
170,02-01-2024,19:06,Mitter-Ramanathan Dal,5,232.51,1162.56,Cash,Walk-in
171,02-01-2024,17:33,"Suresh, Salt",4,254.66,1018.64,Credit,Walk-in
172,02-01-2024,09:59,"Varughese, Sugar",5,125.46,627.3,Cash,Walk-in
173,02-01-2024,23:36,"Saini, Juice",2,397.07,794.14,Cash,Walk-in
174,02-01-2024,02:18,Pall Detergent,5,279.58,1397.9,Cash,Walk-in
175,02-01-2024,17:36,Mangat Soft Drinks,3,346.56,1039.68,Cash,Walk-in
176,02-01-2024,14:33,Joshi Coffee,2,359.99,719.98,Cash,Walk-in
177,02-01-2024,12:39,"Dalal, Coffee",3,176.03,528.09,Cash,Walk-in
178,02-01-2024,19:42,"Dugar, Biscuits",5,43.72,218.6,Cash,Walk-in
179,02-01-2024,01:16,Ben-Chaudhary Soft Drinks,3,28.89,86.67,UPI,Delivery
180,02-01-2024,22:13,Ben-Chaudhary Soft Drinks,1,30.5,30.5,Cash,Walk-in
181,02-01-2024,19:05,"Majumdar, Oil",1,46.78,46.78,UPI,Walk-in
182,02-01-2024,04:11,Aurora-Madan Namkeen,2,91.87,183.74,Credit,Phone Order
183,02-01-2024,23:18,Raman Toothpaste,4,10.36,41.42,Cash,Walk-in
184,02-01-2024,05:09,Palla-Muni Biscuits,5,321.18,1605.9,Credit,Walk-in
185,02-01-2024,17:17,"Mani, Dal",1,402.93,402.93,UPI,Walk-in
186,02-01-2024,14:33,Tara-Padmanabhan Tea,1,12.42,12.42,Cash,Delivery
187,02-01-2024,02:43,Sant Dal,2,463.25,926.5,Credit,Walk-in
188,02-01-2024,01:29,"Vasa, Chocolates",1,472.52,472.52,Cash,Walk-in
189,02-01-2024,15:44,Karpe Juice,5,13.02,65.1,UPI,Walk-in
190,02-01-2024,14:26,Wable Soft Drinks,3,416.72,1250.16,Cash,Walk-in
191,02-01-2024,17:51,Bora-Bhalla Rice,2,79.53,159.06,Cash,Walk-in
192,02-01-2024,09:56,"Mani, Dal",2,402.93,805.86,UPI,Walk-in
193,02-01-2024,13:07,Dua Pulses,1,411.32,411.32,Credit,Walk-in
194,02-01-2024,00:55,Handa Soap,3,79.05,237.15,Cash,Delivery
195,02-01-2024,20:05,Nayak Dal,1,196.14,196.14,Credit,Walk-in
196,02-01-2024,13:13,Sachar Rice,3,380.89,1142.67,Cash,Delivery
197,02-01-2024,06:36,Swaminathan Soap,3,263.39,790.16,Cash,Walk-in
198,02-01-2024,20:11,"Barad, Salt",5,173.8,869.01,Cash,Walk-in
199,02-01-2024,03:17,Cherian-Koshy Oil,4,46.72,186.88,Credit,Walk-in
200,02-01-2024,18:28,Ranganathan Pulses,2,254.58,509.16,UPI,Walk-in
201,02-01-2024,11:33,Chacko Soft Drinks,2,84.39,168.79,Cash,Walk-in
202,02-01-2024,00:47,Bajaj Namkeen,1,295.2,295.2,Cash,Phone Order
203,02-01-2024,21:59,Jaggi-Sule Masala,5,315.37,1576.85,UPI,Phone Order
204,02-01-2024,02:41,"Barad, Salt",5,182.95,914.75,Cash,Walk-in
205,02-01-2024,08:40,Lad Masala,3,314.12,942.36,UPI,Walk-in
206,02-01-2024,23:02,"Narayan, Toothpaste",3,226.48,679.44,UPI,Walk-in
207,02-01-2024,02:33,Palla-Muni Biscuits,3,321.18,963.54,Cash,Walk-in
208,02-01-2024,13:19,"Parsa, Chocolates",4,429.57,1718.28,UPI,Walk-in
209,02-01-2024,21:42,"Kota, Namkeen",5,444.5,2222.5,UPI,Walk-in
210,02-01-2024,11:12,Gour-Deo Toothpaste,5,402.05,2010.25,UPI,Walk-in
211,02-01-2024,03:13,Sheth-Merchant Salt,2,392.54,785.08,UPI,Walk-in
212,02-01-2024,22:58,Sheth-Merchant Salt,5,413.2,2066.0,Cash,Delivery
213,02-01-2024,03:27,"Dash, Soap",5,99.48,497.42,Credit,Walk-in
214,02-01-2024,12:53,Salvi-Saraf Coffee,2,489.48,978.96,Credit,Walk-in
215,02-01-2024,21:57,Sunder-Kapadia Tea,5,298.51,1492.55,Credit,Walk-in
216,02-01-2024,19:13,Lad Masala,1,282.71,282.71,Credit,Walk-in
217,03-01-2024,16:34,Anne-Mital Wheat Flour,1,240.0,240.0,Credit,Walk-in
218,03-01-2024,20:19,Ahluwalia Pulses,3,486.59,1459.77,Cash,Walk-in
219,03-01-2024,06:46,Rastogi-Gandhi Detergent,2,178.37,356.74,Credit,Walk-in
220,03-01-2024,10:00,"Gade, Chips",4,368.28,1473.12,Cash,Walk-in
221,03-01-2024,23:28,Buch Shampoo,1,202.38,202.38,UPI,Phone Order
222,03-01-2024,15:50,"Kota, Namkeen",5,422.28,2111.38,Cash,Walk-in
223,03-01-2024,16:37,"Sule, Masala",5,375.37,1876.87,Cash,Walk-in
224,03-01-2024,12:26,"Sehgal, Salt",3,319.39,958.18,Cash,Phone Order
225,03-01-2024,20:21,"Varughese, Sugar",1,119.19,119.19,UPI,Phone Order
226,03-01-2024,09:53,Raman Toothpaste,5,9.81,49.05,Cash,Walk-in
227,03-01-2024,15:44,Srinivasan-Bassi Coffee,2,144.62,289.24,UPI,Walk-in
228,03-01-2024,17:55,Mammen Soap,4,229.9,919.6,Cash,Walk-in
229,03-01-2024,16:38,"Kota, Namkeen",5,444.5,2222.5,UPI,Phone Order
230,03-01-2024,09:17,"Vasa, Chocolates",5,448.89,2244.47,Cash,Phone Order
231,03-01-2024,17:08,Ranganathan Pulses,2,254.58,509.16,Cash,Walk-in
232,03-01-2024,02:47,Chaudhry Rice,5,66.07,330.35,Cash,Walk-in
233,03-01-2024,19:46,"Suresh, Salt",5,229.19,1145.97,Credit,Walk-in
234,03-01-2024,04:18,"Krishnamurthy, Masala",3,195.04,585.13,Cash,Delivery
235,03-01-2024,19:35,Sant Dal,3,463.25,1389.75,UPI,Walk-in
236,03-01-2024,21:37,"Dugar, Biscuits",1,43.72,43.72,UPI,Phone Order
237,03-01-2024,07:29,"Krishnamurthy, Masala",3,205.31,615.93,UPI,Phone Order
238,03-01-2024,14:19,"Dora, Pulses",5,195.84,979.21,UPI,Walk-in
239,03-01-2024,03:22,Rastogi-Gandhi Detergent,5,160.53,802.67,Cash,Phone Order
240,03-01-2024,10:34,Suri Coffee,5,346.93,1734.65,Credit,Walk-in
241,03-01-2024,21:26,Upadhyay Soap,1,278.3,278.3,Cash,Phone Order
242,03-01-2024,09:02,"Bobal, Salt",2,479.79,959.58,Cash,Walk-in
243,03-01-2024,22:15,Karpe Juice,4,11.72,46.87,Credit,Phone Order
244,03-01-2024,05:40,"Sule, Masala",1,375.37,375.37,Cash,Walk-in
245,03-01-2024,23:26,Sant Dal,3,463.25,1389.75,UPI,Walk-in
246,03-01-2024,06:03,Chhabra-Aurora Tea,2,414.52,829.04,Credit,Walk-in
247,03-01-2024,20:18,"Mani, Dal",5,402.93,2014.65,UPI,Walk-in
248,03-01-2024,14:39,Datta-Solanki Soap,1,403.41,403.41,Cash,Walk-in
249,03-01-2024,10:09,Nayak Dal,4,196.14,784.55,Cash,Walk-in
250,03-01-2024,08:05,"Dora, Pulses",2,206.15,412.3,Cash,Walk-in
251,03-01-2024,06:14,"Dora, Pulses",3,195.84,587.53,Credit,Walk-in
252,03-01-2024,17:53,"Dash, Soap",3,94.25,282.74,Cash,Walk-in
253,03-01-2024,17:33,Dua Pulses,1,411.32,411.32,Cash,Phone Order
254,03-01-2024,20:34,Ben-Chaudhary Soft Drinks,4,30.5,121.98,Cash,Walk-in
255,03-01-2024,11:44,Palla-Muni Biscuits,1,321.18,321.18,Credit,Walk-in
256,03-01-2024,16:42,Nazareth Spices,3,21.7,65.09,Credit,Walk-in
257,03-01-2024,12:40,Handa Soap,5,75.1,375.49,Credit,Phone Order
258,03-01-2024,08:15,Wable Soft Drinks,1,416.72,416.72,Cash,Walk-in
259,03-01-2024,02:10,Upadhyay Soap,5,278.3,1391.5,UPI,Phone Order
260,03-01-2024,07:37,Sha Tea,1,80.41,80.41,Credit,Walk-in
261,03-01-2024,16:31,Bora-Bhalla Rice,2,75.55,151.11,UPI,Walk-in
262,03-01-2024,07:03,Mangat Soft Drinks,4,346.56,1386.24,UPI,Walk-in
263,03-01-2024,03:55,Joshi Coffee,3,323.99,971.97,Cash,Delivery
264,03-01-2024,17:23,Datta-Solanki Soap,3,403.41,1210.23,Credit,Walk-in
265,03-01-2024,07:46,"Sehgal, Salt",4,354.88,1419.52,Cash,Walk-in
266,03-01-2024,23:32,Memon Chocolates,4,400.89,1603.55,UPI,Walk-in
267,03-01-2024,01:31,Palla-Muni Biscuits,1,321.18,321.18,Cash,Walk-in
268,03-01-2024,04:06,Issac Soft Drinks,2,420.33,840.66,Credit,Walk-in
269,03-01-2024,18:36,Ratta Soft Drinks,3,165.89,497.67,Credit,Phone Order
270,03-01-2024,15:42,"Sule, Masala",4,395.13,1580.52,Cash,Walk-in
271,03-01-2024,08:25,"Manda, Coffee",5,50.94,254.7,Cash,Walk-in
272,03-01-2024,23:19,Kant Oil,1,135.5,135.5,UPI,Walk-in
273,03-01-2024,06:30,Joshi Coffee,4,323.99,1295.96,Credit,Walk-in
274,03-01-2024,14:13,Buch-Sehgal Coffee,5,425.69,2128.43,UPI,Walk-in
275,03-01-2024,09:52,Joshi Coffee,1,359.99,359.99,Credit,Walk-in
276,03-01-2024,14:20,"Mani, Dal",4,362.64,1450.55,Credit,Walk-in
277,03-01-2024,01:29,"Vasa, Chocolates",5,448.89,2244.47,Cash,Phone Order
278,03-01-2024,16:40,Ganguly-Loke Namkeen,5,99.44,497.18,Cash,Phone Order
279,03-01-2024,17:48,Chhabra-Aurora Tea,1,373.07,373.07,Cash,Phone Order
280,03-01-2024,06:31,Chaudhry Rice,3,66.07,198.21,UPI,Delivery
281,03-01-2024,16:58,Madan-Divan Chocolates,1,58.19,58.19,Credit,Walk-in
282,03-01-2024,19:34,"Dalal, Coffee",5,176.03,880.16,UPI,Walk-in
283,03-01-2024,01:56,Dhillon-Karan Rice,1,12.09,12.09,Cash,Walk-in
284,03-01-2024,10:05,Ratta Soft Drinks,1,165.89,165.89,UPI,Walk-in
285,03-01-2024,17:19,Sha Tea,5,89.35,446.75,Cash,Delivery
286,03-01-2024,23:05,Kade-Srinivasan Tea,3,100.79,302.37,Cash,Walk-in
287,03-01-2024,20:25,Buch-Sehgal Coffee,2,425.69,851.37,UPI,Delivery
288,03-01-2024,07:05,Mitter-Ramanathan Dal,1,244.75,244.75,UPI,Walk-in
289,03-01-2024,21:22,Issac Soft Drinks,5,420.33,2101.65,Credit,Phone Order
290,03-01-2024,08:59,Sheth-Merchant Salt,4,413.2,1652.8,Credit,Walk-in
291,03-01-2024,04:01,Ben-Chaudhary Soft Drinks,3,30.5,91.48,Cash,Walk-in
292,03-01-2024,19:36,Ranganathan Pulses,1,267.98,267.98,Cash,Phone Order
293,03-01-2024,08:33,Srinivasan-Bassi Coffee,2,144.62,289.24,Cash,Phone Order
294,03-01-2024,14:00,Upadhyay Soap,2,278.3,556.6,UPI,Walk-in
295,03-01-2024,09:41,Bora-Bhalla Rice,5,79.53,397.65,Credit,Walk-in
296,03-01-2024,15:58,Swamy Sugar,4,314.23,1256.92,UPI,Phone Order
297,04-01-2024,14:12,"Atwal, Masala",4,269.94,1079.76,UPI,Delivery
298,04-01-2024,06:44,Raman Tea,1,245.78,245.78,Cash,Phone Order
299,04-01-2024,10:09,Lalla Detergent,1,199.83,199.83,Credit,Walk-in
300,04-01-2024,23:07,"Sehgal, Salt",2,354.88,709.76,Cash,Walk-in
301,04-01-2024,00:44,Suri Coffee,4,346.93,1387.72,Cash,Delivery
302,04-01-2024,03:15,"Lata, Namkeen",5,427.34,2136.69,Credit,Phone Order
303,04-01-2024,07:06,Gour-Deo Toothpaste,4,402.05,1608.2,Cash,Walk-in
304,04-01-2024,09:42,Raman Tea,1,245.78,245.78,Credit,Phone Order
305,04-01-2024,16:31,Narasimhan Salt,4,19.07,76.28,Cash,Walk-in
306,04-01-2024,03:01,Naidu-Goyal Chips,5,390.62,1953.1,Credit,Walk-in
307,04-01-2024,02:30,Sunder-Kapadia Tea,4,283.58,1134.34,UPI,Walk-in
308,04-01-2024,02:34,Sheth-Merchant Salt,3,392.54,1177.62,Cash,Walk-in
309,04-01-2024,20:43,"Varughese, Sugar",1,125.46,125.46,Credit,Phone Order
310,04-01-2024,13:57,Ganguly-Loke Namkeen,2,104.67,209.34,Credit,Walk-in
311,04-01-2024,05:22,Sekhon Pulses,3,16.83,50.49,UPI,Walk-in
312,04-01-2024,11:31,Sant Dal,4,416.92,1667.7,UPI,Walk-in
